tic,time,open,high,low,close,volume,day
603825.SH,2022-05-18,15.85,15.88,15.05,15.09,126224.85,2
688365.SH,2022-05-18,8.16,8.79,8.15,8.6,45953.03,2
002193.SZ,2022-05-19,5.64,5.78,5.61,5.75,35301.76,3
002633.SZ,2022-05-19,8.48,9.15,8.36,8.57,118608.45,3
600243.SH,2022-05-19,4.83,4.91,4.71,4.82,312621.01,3
603825.SH,2022-05-19,14.65,15.37,14.55,15.28,95999.0,3
688365.SH,2022-05-19,8.51,8.65,8.44,8.5,21923.95,3
002193.SZ,2022-05-20,5.77,5.91,5.7,5.89,47640.0,4
002633.SZ,2022-05-20,8.4,9.0,8.22,8.53,77210.59,4
600243.SH,2022-05-20,4.84,4.99,4.77,4.9,290654.0,4
603825.SH,2022-05-20,15.36,15.41,15.07,15.22,71940.0,4
688365.SH,2022-05-20,8.5,8.7,8.5,8.67,20869.5,4
002193.SZ,2022-05-23,5.89,5.99,5.8,5.92,34565.01,0
002633.SZ,2022-05-23,8.5,9.1,8.37,8.86,70390.68,0
600243.SH,2022-05-23,4.92,5.18,4.88,5.03,325359.13,0
603825.SH,2022-05-23,15.55,15.88,15.38,15.5,88766.0,0
688365.SH,2022-05-23,8.85,8.85,8.54,8.76,14893.56,0
002193.SZ,2022-05-24,5.88,5.89,5.5,5.55,43848.0,1
002633.SZ,2022-05-24,8.97,9.02,8.48,8.65,44631.0,1
600243.SH,2022-05-24,5.0,5.35,4.91,5.2,635189.16,1
603825.SH,2022-05-24,15.47,15.64,14.52,14.54,84591.2,1
688365.SH,2022-05-24,8.78,8.82,8.22,8.27,18937.5,1
002193.SZ,2022-05-25,5.54,5.65,5.53,5.64,25162.0,2
002633.SZ,2022-05-25,8.52,8.9,8.37,8.9,39861.02,2
600243.SH,2022-05-25,5.09,5.15,4.68,5.09,472960.79,2
603825.SH,2022-05-25,14.61,15.76,14.6,15.7,122888.93,2
688365.SH,2022-05-25,8.27,8.47,8.25,8.47,14937.81,2
002193.SZ,2022-05-26,5.64,5.79,5.51,5.78,31287.75,3
002633.SZ,2022-05-26,8.83,8.91,8.6,8.71,29939.0,3
600243.SH,2022-05-26,4.99,4.99,4.76,4.83,300959.79,3
603825.SH,2022-05-26,15.66,16.1,15.32,15.91,130836.82,3
688365.SH,2022-05-26,8.57,8.57,8.2,8.35,17626.53,3
002193.SZ,2022-05-27,5.77,5.82,5.67,5.76,23776.75,4
002633.SZ,2022-05-27,8.78,8.79,8.51,8.64,21277.0,4
600243.SH,2022-05-27,4.72,4.88,4.62,4.66,270970.01,4
603825.SH,2022-05-27,16.09,16.14,15.57,16.05,110312.09,4
688365.SH,2022-05-27,8.45,8.51,8.22,8.26,11720.73,4
002193.SZ,2022-05-30,5.78,5.87,5.71,5.87,33673.0,0
002633.SZ,2022-05-30,8.62,8.79,8.42,8.47,25211.0,0
600243.SH,2022-05-30,4.62,4.77,4.52,4.76,285862.01,0
603825.SH,2022-05-30,16.5,16.85,15.91,16.21,173064.6,0
688365.SH,2022-05-30,8.3,8.4,8.2,8.38,12809.52,0
002193.SZ,2022-05-31,5.87,5.88,5.76,5.81,26664.0,1
002633.SZ,2022-05-31,8.52,8.55,8.29,8.46,18868.0,1
600243.SH,2022-05-31,4.7,4.72,4.56,4.64,183990.0,1
603825.SH,2022-05-31,15.8,16.26,15.58,16.09,130554.6,1
688365.SH,2022-05-31,8.4,8.84,8.3,8.82,30155.32,1
002193.SZ,2022-06-01,5.76,6.2,5.76,5.92,64719.0,2
002633.SZ,2022-06-01,8.45,9.0,8.44,8.85,45087.0,2
